bin_lower,bin_upper,count,accuracy,confidence
0.0,0.06666666666666667,0,0.0,0.03333333333333333
0.06666666666666667,0.13333333333333333,0,0.0,0.1
0.13333333333333333,0.2,0,0.0,0.16666666666666669
0.2,0.26666666666666666,0,0.0,0.23333333333333334
0.26666666666666666,0.3333333333333333,0,0.0,0.3
0.3333333333333333,0.4,9,0.6666666666666666,0.37717291040324064
0.4,0.4666666666666667,17,0.5294117647058824,0.43600200395872746
0.4666666666666667,0.5333333333333333,26,0.8846153846153846,0.49475385254013055
0.5333333333333333,0.6,27,0.8518518518518519,0.5586104701849978
0.6,0.6666666666666666,31,0.9354838709677419,0.6268735437197586
0.6666666666666666,0.7333333333333333,28,0.9642857142857143,0.7043421305396755
0.7333333333333333,0.8,43,1.0,0.7636791475579399
0.8,0.8666666666666667,38,1.0,0.8371428841683147
0.8666666666666667,0.9333333333333333,25,1.0,0.9015642448972475
0.9333333333333333,1.0,4,1.0,0.9447451344049818
